city,area,county,link,date,road
"Aurora, CO","Denver, CO","Adams County, CO",http://accidentdatacenter.com/us/colorado/denver-co/aurora/15/10/15/driver-fires-multiple-wild-shots-case-possible-road-rage-three-different-locations-along-or-near,2015-10-15T00:00:00-07:00,Parker Road
"Bellevue, WA","Seattle-Tacoma, WA","King County, WA",http://accidentdatacenter.com/us/washington/seattle-tacoma-wa/bellevue/15/10/15/seattle-seahawks-fullback-derrick-coleman-24-arrested-and-one-person-injured-hit-and-run-car-crash,2015-10-15T00:00:00-07:00,
"Easley, SC","Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC","Pickens County, SC",http://accidentdatacenter.com/us/south-carolina/greenville-spartanburg-sc-asheville-nc-andersonsc/easley/15/10/16/one-person-killed-and-sydnee-jones-19-injured-single-vehicle-wreck-utility-pole-latham-road-near,2015-10-16T00:00:00-07:00,Latham Road
"Overland Park, KS","Kansas City, MO","Johnson County, KS",http://accidentdatacenter.com/us/kansas/kansas-city-mo/overland-park/15/10/16/one-person-killed-and-one-driver-flees-scene-car-crash-w-123-and-metcalf-avenue-overland-park-kansas,2015-10-16T00:00:00-07:00,W. 123 and Metcalf Avenue
,"Charlotte, NC","Rowan County, NC",http://accidentdatacenter.com/us/north-carolina/charlotte-nc/15/10/16/groom-seriously-injured-rollover-day-his-wedding-miller-chapel-road-rowan-county-north-carolina,2015-10-16T00:00:00-07:00,Miller Chapel Road
"Shelton, CT","New York, NY","Fairfield County, CT",http://accidentdatacenter.com/us/connecticut/new-york-ny/shelton/15/10/15/leigh-sabo-24-killed-and-her-15-month-old-daughter-injured-2-vehicle-crash-bridgeport-ave-shelton,2015-10-15T00:00:00-07:00,Bridgeport Avenue
"Gloucester City, NJ",Trenton-NJ,"Camden County, NJ",http://accidentdatacenter.com/us/new-jersey/trenton-nj/gloucester-city/15/10/16/2-dead-1-critical-after-2-vehicle-crash-college-drive-gloucester-township-new-jersey,2015-10-16T00:00:00-07:00,College Drive
"Las Vegas, NV","Las Vegas, NV","Clark County, NV",http://accidentdatacenter.com/us/nevada/las-vegas-nv/las-vegas/15/10/16/nhp-patrol-involved-3-car-crash-i-15-cactus-avenue-offramp-las-vegas-nevada,2015-10-16T00:00:00-07:00,Interstate 15 at Cactus Avenue
"Mars Hill, ME","Presque Isle, ME","Aroostook County, ME",http://accidentdatacenter.com/us/maine/presque-isle-me/mars-hill/15/10/16/kristen-cook-25-charles-beidelman-77-and-linda-beidelman-67-injured-two-vehicle-crash-us-route-1,2015-10-16T00:00:00-07:00,U.S. Route 1
"Sedro-Woolley, WA","Seattle-Tacoma, WA","Skagit County, WA",http://accidentdatacenter.com/us/washington/seattle-tacoma-wa/sedro-woolley/15/10/15/1-passenger-injured-when-father-driving-septic-truck-collided-daughters-vehicle-state-route-20-and,2015-10-15T00:00:00-07:00,State Route 20 and Collins Road
"Vernonia, OR","Portland, OR","Columbia County, OR",http://accidentdatacenter.com/us/oregon/portland-or/vernonia/15/01/13/nathan-j-jackson-36-killed-single-vehicle-car-collision-tree-oregon-47-near-vernonia-oregon,2015-01-13T00:00:00-08:00,Oregon 47
